review_id,user_name,score_stars,thumbs_up_count,at,content,reply,lang_param,country_param,lang_detected,sentiment_label,sentiment_score,dup_exact,dup_near,low_info,bot_like,cluster_id,fake_flag,fake_reason,fake_flag_v2,fake_reason_v2,is_common_short,burst_dup,cluster_size,interesting_flag,interesting_score,interesting_reason
e5c97040-5f83-4c27-9044-72388a073800,Ecrin buglem,3,3,2025-08-31T01:03:12,güzel ama her seviyeleri geçince reklam geliyor ama geriye reklam o kadar yok,"Ecrin buglem, geri bildirimin için teşekkür ederiz. Patrol Officer’da seviyeler sonrası çıkan reklamların seni rahatsız ettiğini anlıyoruz. Ekibimiz bu konuda dengeyi geliştirmeye çalışıyor. Desteğin ve anlayışın için teşekkürler. Keyifli sürüşler dileriz! 🚓",tr,TR,tr,neutral,0.5,False,True,False,False,0,True,dup_near,True,near_dup(cluster=2145),False,False,2145,True,0.2981816537987337,rare_language
2850bf53-89cd-4d8b-a1a6-548434b16c00,ismail Ada,2,0,2025-07-05T17:51:01,Oyun çok iyi fakat her görev bitirdiğimde reklam çıkıyor,"İsmail Ada, geri bildiriminiz için teşekkür ederiz. Reklamların oyun keyfinizi bozduğunu anlıyoruz. Patrol Officer ekibi olarak bu konuda geliştirmeler yapıyoruz. Daha iyi bir trafik ve polis simülasyonu deneyimi sunmak için çalışıyoruz. Sabrınız için kusura bakmayın. 🚓",tr,TR,tr,positive,0.8,False,True,False,False,0,True,dup_near,False,organic_complaint,False,False,2145,False,0.26453678673513664,"strong_sentiment,rare_language"
a54c550c-bb89-4ced-ba9e-20c0833e7123,“Yalnız31” Yalnız31 31,1,19,2025-08-25T02:50:08,Bu oyunu reklam şirketi yaptı herhalde full reklam siliyorum ben tavsiye etmiyorum indirmeyin yorumu geçen sene atmıştim reklam yüzünde bir deneyim belki reklam bitmiştir diye gene aynı her level başı bir reklam indirmeyin internetinize yazık reklamcı bunlar oyun oynatmak değil amaçları reklam izletmek,"Selam, konuyu ilgili ekibimizle paylaştık. Reklamlarla ilgili önlemler alınacak, bildirimin için çok teşekkür eder; konuyla ilgili yıldızını güncellemen bizim için çok önemli. Teşekkür ederiz! 🙏🏻

",tr,TR,tr,neutral,0.5,False,True,False,False,0,True,dup_near,False,organic_complaint,False,False,2145,True,0.5081190066551832,"long,community_liked(19),rare_language"
aa867506-baf8-428f-b133-5637fb5e0777,Gamze Bozkurtoğulları,4,2,2025-06-12T09:17:00,oyundaki cekiciyi butonu reklamsiz yapar bilir misiniz,Değerli yorumun için teşekkürler! 😊 Çekiç butonuyla ilgili geri bildiriminizi aldık. Reklamsız kullanım opsiyonu için değerlendirme yapacağız. İyi devriyeler!,tr,TR,tr,neutral,0.5,False,False,False,False,-1,False,,False,organic_complaint,False,False,782,False,0.18007379358294207,novelty
6562811c-88bd-4ca6-a1d0-79e266b87a06,pro batu tr,5,26,2025-07-18T13:40:20,oyun çok güzel ama arabalarla istediğimiz zaman devriye atalım daha iyi olabilir,"pro batu tr, güzel yorumun için teşekkür ederiz. Patrol Officer’da istediğin gibi devriye atma fikrini ekibimize ilettik. Özellikle driving ve traffic konusunda daha özgür hissetmen için geliştirmeler üzerinde çalışıyoruz. Geri bildirimin bizim için çok değerli. İyi oyunlar! 🚓",tr,TR,tr,neutral,0.5,False,False,False,False,-1,False,,True,near_dup(cluster=782),False,False,782,True,0.3920066119328178,community_liked(26)
9f705515-6c06-4e19-9c9a-2e436c22d7cb,Yasemin Acem,1,0,2025-09-02T18:04:59,oyun acıldı ama bikere girdim sonra girdim de nerden oyun oynicam ben bu oyunu çok sevdim ama nerden oynicam,"Yasemin Acem, geri bildiriminiz için teşekkür ederiz. Patrol Officer oyununu beğenmenize sevindik. Ana ekranda “Başla” veya “Oyna” butonuna basarak oyuna girebilirsiniz. Herhangi bir sorun yaşarsanız ekibimiz destek olmaya hazır. İyi oyunlar dileriz! 🚓",tr,TR,tr,neutral,0.5,False,True,False,False,0,True,dup_near,True,near_dup(cluster=2145),False,False,2145,True,0.2811526587703283,rare_language
1c342df8-cf66-446e-8a46-c32831d3bacd,Geleceğin izinde,2,11,2024-05-14T16:46:45,"Birincisi oyun hep aynı şeyler üzerinde dönüyor. Trafik çevirmesi, üst araması, park cezası vs. İkincisi sürekli reklam çıkıyor ve çok rahatsız edici. Bu demektir ki fazla oynanmaz sil gitsin bende öyle yaptım","Geri bildiriminiz için teşekkürler Ahmet. Oyunun tekrarlayan görevleri ve reklam sıklığının rahatsız edici olmasından dolayı üzgünüz. Daha çeşitli görevler ve daha iyi bir deneyim sunmak için iyileştirmeler üzerinde çalışıyoruz.
",tr,TR,tr,neutral,0.5,False,False,False,False,-1,False,,False,organic_complaint,False,False,782,True,0.43564273102867324,community_liked(11)
bd30af66-8da6-45dd-bf32-f5ed49ac9e13,Ebru Kutlar,1,47,2024-11-30T20:04:40,Vip üyeliği satın aldığım halde ısrarla reklam izletmenin mantığı nedir? İzlememek için alım yapmışım değil mi? Oyun güzel ama hangi paketi alırsanız alın reklam izlemek zorundasınız hem de her bölüm sonunda bölümlerde 15 saniye falan sürüyor reklamlar 30 saniye. İndirirken bunu düşünerek indirin.,"Merhaba, geri bildiriminiz için teşekkür ederiz. Reklamlar, ekstra ödüller kazanmak isteyen kullanıcılar içindir. VIP üyelikle ödül reklamsız bir deneyim sunmayı amaçlıyoruz, ancak reklamları izlemeden ödül almadan devam etme seçeneğiniz de her zaman mevcut. Önerilerinizi dikkate alacağız.",tr,TR,tr,neutral,0.5,False,False,False,False,-1,False,,False,organic_complaint,False,False,782,True,0.5888322391754202,"long,community_liked(47)"
1e719d8b-907f-41e9-9301-6b84b1e066a7,Mami,3,4,2025-07-09T22:02:48,"Oyunun Türk olması ve oyunda ligler ile sıralama olması güzel ama,Efektleri kalitesi ve animasyonları fazla kötü.Bunlar düzeltilirse oyunn içi dop dolu ztn","Mami, Patrol Officer ile ilgili düşüncelerin için teşekkür ederiz. Ligler ve sıralama sistemini beğenmene sevindik. Efektler ve animasyonlar konusundaki eleştirini geliştirme ekibimize ileteceğiz. Daha iyi bir trafik ve sürüş deneyimi sunmak için çalışıyoruz. Geri bildirimin çok değerli! 🚓",tr,TR,tr,negative,0.8,False,False,False,False,-1,False,,True,near_dup(cluster=782),False,False,782,True,0.3996436168557982,"strong_sentiment,rare_language"
c596aea0-9e8d-49e2-ad5b-dc2cbce5f328,mustafa karagz,1,61,2024-04-11T23:26:17,Oyun genel olarak güzel ama her saniye reklam giriyor ve telefonum ikidebir dondu bu kadar reklam acayip bunaltıcı ve sıkıcı bir hal alıyor interneti kapatırsanız internetsiz oyun çekmiyor sırf reklam yüzünden oyunu silmek zorunda kaldım acilen düzeltilmesi gerekiyor,"Merhaba Mustafa! Reklam sıklığının ve donma sorunlarının rahatsızlık verdiğini duyduğumuza üzüldük. Geri bildiriminiz bizim için çok değerli, oyun deneyimini iyileştirmek için çalışmalar yapıyoruz. Teşekkürler!
",tr,TR,tr,neutral,0.5,False,True,False,False,0,True,dup_near,False,organic_complaint,False,False,2145,True,0.48177836285026965,"long,community_liked(61)"
